,ID,Name,Genre,Console,Rating,Global_Sales,VGChartz Score,Critic Score,Critic_Count,User Score,User_Count,Release Date
214,51793,Wipeout 2048,Racing,PSV,E10+,0.35,8.1,,63.0,,191.0,15th Feb 12
215,682,Excite Truck,Racing,Wii,E,0.53,8.0,7.0,57.0,,83.0,19th Nov 06
216,70928,F1 2012,Racing,X360,E,0.49,8.0,8.5,42.0,,56.0,18th Sep 12
217,76415,F1 2013,Racing,X360,E,0.3,8.0,,29.0,,33.0,08th Oct 13
218,30702,Call of Juarez: Bound in Blood,Shooter,PS3,M,0.88,8.0,7.7,47.0,,91.0,30th Jun 09
219,30701,Call of Juarez: Bound in Blood,Shooter,X360,M,0.6,8.0,7.6,77.0,,94.0,30th Jun 09
220,6991,DiRT,Racing,PS3,E,1.05,8.0,8.3,32.0,,32.0,11th Sep 07
221,6710,DiRT,Racing,X360,E,0.87,8.0,8.4,59.0,,94.0,19th Jun 07
222,34272,DJ Hero,Misc,PS3,T,0.9,8.0,8.5,53.0,,49.0,27th Oct 09
223,34270,DJ Hero,Misc,Wii,T,0.76,8.0,8.6,22.0,,19.0,27th Oct 09
224,34271,DJ Hero,Misc,X360,T,1.06,8.0,8.4,72.0,,42.0,27th Oct 09
225,7692,Dragon Quest IV: Chapters of the Chosen,Role-Playing,DS,E10+,1.62,8.0,8.1,44.0,8.0,50.0,16th Sep 08
226,33482,Guitar Hero On Tour: Modern Hits,Misc,DS,E10+,0.37,8.0,7.3,30.0,,7.0,09th Jun 09
227,32173,MotorStorm: Arctic Edge,Racing,PSP,T,1.02,8.0,7.7,58.0,,39.0,29th Sep 09
228,13861,Ninjatown,Strategy,DS,E,0.13,8.0,,40.0,,21.0,28th Oct 08
229,4009,Phoenix Wright: Ace Attorney,Adventure,DS,T,0.92,8.0,8.1,53.0,,203.0,12th Oct 05
230,18651,Puchi Puchi Virus,Puzzle,DS,E,0.08,8.0,7.4,17.0,,5.0,20th May 09
231,16284,Red Steel 2,Shooter,Wii,T,0.62,8.0,7.8,73.0,8.5,178.0,23rd Mar 10
232,33401,Resonance of Fate,Role-Playing,PS3,T,0.73,8.0,7.5,42.0,8.2,136.0,16th Mar 10
233,33400,Resonance of Fate,Role-Playing,X360,T,0.33,8.0,7.4,43.0,,96.0,16th Mar 10
234,4207,Rune Factory: A Fantasy Harvest Moon,Role-Playing,DS,E,0.53,8.0,8.1,26.0,,52.0,14th Aug 07
235,6988,Skate,Sports,PS3,T,0.37,8.0,,31.0,,57.0,24th Sep 07
237,7480,Wii Fit,Sports,Wii,E,22.7,8.0,7.9,63.0,,146.0,21st May 08
238,23193,WWE SmackDown vs. Raw 2009,Fighting,Wii,T,0.83,8.0,8.2,18.0,,18.0,09th Nov 08
239,4008,Apollo Justice: Ace Attorney,Adventure,DS,T,0.99,7.9,8.0,48.0,,84.0,19th Feb 08
240,73076,Dead Rising 3,Action,XOne,M,1.57,7.9,,69.0,,908.0,22nd Nov 13
241,27307,Final Fantasy Crystal Chronicles: Echoes of Time,Role-Playing,DS,E10+,0.47,7.9,7.7,37.0,,21.0,24th Mar 09
242,12743,Fire Pro Wrestling Returns,Fighting,PS2,T,0.09,7.9,,12.0,,17.0,13th Nov 07
243,13394,God of War: Chains of Olympus,Action,PSP,M,3.18,7.9,8.9,79.0,9.5,565.0,04th Mar 08
244,24659,Rayman Raving Rabbids: TV Party,Misc,Wii,E10+,2.03,7.9,7.1,24.0,,29.0,18th Nov 08
245,23447,Star Ocean: The Last Hope,Role-Playing,X360,T,0.79,7.9,7.3,56.0,8.0,150.0,24th Feb 09
246,32127,Tenchu: Shadow Assassins,Action,PSP,M,0.11,7.9,7.5,18.0,,18.0,24th Mar 09
247,25288,Tenchu: Shadow Assassins,Action,Wii,M,0.21,7.9,7.0,35.0,,24.0,05th Feb 09
249,24036,Avalon Code,Role-Playing,DS,E10+,0.24,7.8,7.1,29.0,,13.0,10th Mar 09
250,12323,Brutal Legend,Action,PS3,M,0.94,7.8,7.9,61.0,,162.0,13th Oct 09
251,12324,Brutal Legend,Action,X360,M,0.97,7.8,8.5,88.0,,268.0,13th Oct 09
252,32231,Dawn of Discovery,Simulation,Wii,E10+,0.19,7.8,7.9,24.0,,15.0,23rd Jun 09
253,18841,echochrome,Puzzle,PSP,E,0.09,,7.6,28.0,,13.0,01st May 08
254,868,God Hand,Action,PS2,M,0.07,7.8,7.0,48.0,,165.0,10th Oct 06
255,34039,Guitar Hero: Smash Hits,Misc,PS3,T,0.35,7.8,7.4,34.0,,9.0,16th Jun 09
256,34040,Guitar Hero: Smash Hits,Misc,Wii,T,0.58,7.8,7.5,17.0,,6.0,16th Jun 09
257,34041,Guitar Hero: Smash Hits,Misc,X360,T,0.42,7.8,7.1,56.0,,18.0,16th Jun 09
258,29968,Hammerin' Hero,Action,PSP,E10+,0.07,7.8,7.0,19.0,,8.0,07th Apr 09
259,24233,Just Cause 2,Action,PC,M,0.12,7.8,8.2,33.0,,838.0,23rd Mar 10
260,24231,Just Cause 2,Action,PS3,M,1.75,7.8,8.3,66.0,,291.0,23rd Mar 10
261,24232,Just Cause 2,Action,X360,M,1.6,7.8,8.0,74.0,,267.0,23rd Mar 10
262,28181,Marble Saga: Kororinpa,Puzzle,Wii,E,0.16,7.8,7.4,16.0,,6.0,17th Mar 09
264,18886,Naruto: Ultimate Ninja Storm,Fighting,PS3,T,1.07,7.8,7.8,32.0,,95.0,04th Nov 08
265,32804,Phantom Brave: We Meet Again,Role-Playing,Wii,T,0.13,7.8,7.6,12.0,,15.0,11th Aug 09
266,35000,Rabbids Go Home,Adventure,Wii,E10+,1.12,7.8,8.0,50.0,,32.0,03rd Nov 09
267,32175,Rock Band Unplugged,Misc,PSP,T,0.48,7.8,8.0,50.0,,31.0,09th Jun 09
268,50346,Sesame Street: Once Upon A Monster,Misc,X360,E,0.52,7.8,8.0,26.0,,22.0,11th Oct 11
269,25899,Dead Rising: Chop Till You Drop,Action,Wii,M,0.29,7.7,6.7,30.0,7.2,35.0,24th Feb 09
270,33663,Fallout: New Vegas,Role-Playing,X360,M,4.05,7.7,8.2,81.0,,769.0,19th Oct 10
271,7115,Folklore,Role-Playing,PS3,T,0.32,7.7,7.5,55.0,8.7,145.0,09th Oct 07
273,32429,Singularity,Shooter,X360,M,0.32,7.7,7.7,70.0,,169.0,29th Jun 10
274,39124,Skate 3,Sports,PS3,T,1.98,7.7,,46.0,,82.0,11th May 10
275,39125,Skate 3,Sports,X360,T,2.63,7.7,8.3,65.0,,127.0,11th May 10
276,28673,Big Bang Mini,Shooter,DS,E,0.06,7.6,8.0,39.0,,26.0,21st Jan 09
277,16724,Deadly Creatures,Action,Wii,T,0.22,7.6,6.9,45.0,6.8,36.0,09th Feb 09
278,57526,Football Manager 2012,Sports,PC,E,1.51,7.6,8.5,45.0,,172.0,21st Oct 11
279,34467,Lunar: Silver Star Harmony,Role-Playing,PSP,T,0.24,7.6,7.9,26.0,,47.0,02nd Mar 10
280,34956,Wolfenstein,Shooter,PC,M,0.05,7.6,6.5,41.0,8.0,261.0,18th Aug 09
281,12727,Assassin's Creed,Action,PS3,M,4.82,7.5,8.2,40.0,8.5,769.0,13th Nov 07
282,12728,Assassin's Creed,Action,X360,M,5.54,7.5,8.2,77.0,8.0,1074.0,13th Nov 07
283,18646,Death Jr.: Root of Evil,Platform,Wii,T,0.11,7.5,7.3,14.0,,14.0,27th May 08
284,27150,Eternal Sonata,Role-Playing,PS3,T,0.44,7.5,8.3,34.0,,117.0,21st Oct 08
285,24704,Far Cry 2,Shooter,PS3,M,1.38,7.5,8.4,49.0,,241.0,21st Oct 08
286,24703,Far Cry 2,Shooter,X360,M,1.59,7.5,8.5,75.0,,288.0,21st Oct 08
287,19095,LEGO Batman: The Videogame,Adventure,PC,E10+,0.06,7.5,7.4,15.0,,61.0,23rd Sep 08
288,19096,LEGO Batman: The Videogame,Adventure,PS2,E10+,1.27,7.5,7.6,8.0,,17.0,23rd Sep 08
289,13866,LEGO Batman: The Videogame,Adventure,PS3,E10+,1.29,7.5,7.2,24.0,,33.0,23rd Sep 08
290,23937,LEGO Batman: The Videogame,Adventure,Wii,E10+,3.06,7.5,7.3,17.0,,22.0,23rd Sep 08
291,13867,LEGO Batman: The Videogame,Adventure,X360,E10+,3.38,7.5,7.5,49.0,,75.0,23rd Sep 08
292,32302,Lost Planet 2,Shooter,PS3,T,0.95,7.5,6.6,56.0,,62.0,11th May 10
294,23088,Mana Khemia 2: Fall of Alchemy,Role-Playing,PS2,T,0.2,7.5,8.2,12.0,,17.0,25th Aug 09
295,34266,"Sakura Wars: So Long, My Love",Role-Playing,Wii,T,0.1,7.5,7.4,30.0,,31.0,30th Mar 10
296,36725,Shin Megami Tensei: Strange Journey,Role-Playing,DS,M,0.28,7.5,8.0,26.0,,69.0,23rd Mar 10
297,12723,SingStar Legends,Misc,PS2,T,1.1,7.5,,25.0,,,04th Nov 08
298,57501,Grand Slam Tennis 2,Sports,X360,E,0.18,7.4,,45.0,,14.0,14th Feb 12
299,33725,MySims Agents,Adventure,Wii,E,1.03,7.4,7.5,28.0,,28.0,29th Sep 09
300,12561,Silent Hill: Origins,Action,PSP,M,0.52,7.4,7.8,40.0,,107.0,06th Nov 07
301,16779,Time Hollow,Adventure,DS,T,0.16,7.4,,24.0,,21.0,23rd Sep 08
303,30924,Broken Sword: Shadow of the Templars - The Director's Cut,Adventure,Wii,T,0.24,7.3,7.5,29.0,,14.0,24th Mar 09
304,13719,Ghostbusters: The Video Game,Action,Wii,E10+,0.86,7.3,7.6,29.0,,28.0,16th Jun 09
306,31151,Need for Speed: Nitro,Racing,Wii,E10+,0.83,7.3,7.0,41.0,,38.0,02nd Nov 09
307,13793,Star Wars: The Force Unleashed,Action,Wii,T,1.86,7.3,6.8,18.0,7.4,75.0,16th Sep 08
308,35319,Aliens vs Predator,Shooter,PS3,M,1.04,7.2,6.1,57.0,,168.0,16th Feb 10
309,35318,Aliens vs Predator,Shooter,X360,M,1.06,7.2,6.0,64.0,,247.0,16th Feb 10
310,32227,Dante's Inferno,Action,PS3,M,1.08,7.2,7.3,69.0,8.3,265.0,09th Feb 10
311,32240,Dante's Inferno,Action,X360,M,0.92,7.2,7.0,71.0,,224.0,09th Feb 10
312,70752,DiRT Showdown,Racing,X360,E10+,0.23,7.2,,53.0,,53.0,12th Jun 12
313,45606,Kinectimals,Simulation,X360,E,1.62,7.2,7.5,50.0,,69.0,04th Nov 10
314,34611,Klonoa,Platform,Wii,E10+,0.16,7.2,7.6,37.0,,39.0,05th May 09
315,33692,LEGO Rock Band,Misc,PS3,E10+,0.42,7.2,7.4,36.0,,18.0,03rd Nov 09
316,33693,LEGO Rock Band,Misc,X360,E10+,0.56,7.2,7.3,50.0,,31.0,03rd Nov 09
317,41326,Medal of Honor,Shooter,X360,M,2.61,7.2,7.3,71.0,,288.0,12th Oct 10
318,35516,MotoGP 09/10,Racing,PS3,E,0.22,7.2,7.0,42.0,,28.0,23rd Mar 10
319,35515,MotoGP 09/10,Racing,X360,E,0.17,7.2,7.0,41.0,,41.0,23rd Mar 10
320,34368,Shin Megami Tensei: Persona,Role-Playing,PSP,T,0.22,7.2,7.6,30.0,,47.0,22nd Sep 09
321,24042,Skate it,Sports,Wii,E,0.58,7.2,6.6,37.0,,25.0,19th Nov 08
322,7136,Tales of Symphonia: Dawn of the New World,Role-Playing,Wii,T,0.52,7.2,6.8,46.0,8.3,93.0,11th Nov 08
323,24776,The Legendary Starfy,Platform,DS,E,0.85,7.2,7.1,25.0,,26.0,08th Jun 09
324,25078,Theresia...,Adventure,DS,M,0.06,,,6.0,,8.0,30th Oct 08
325,19097,LEGO Batman: The Videogame,Adventure,PSP,E10+,1.28,7.1,7.9,5.0,,10.0,23rd Sep 08
326,25999,Skate it,Sports,DS,E,0.17,7.1,,13.0,,12.0,19th Nov 08
327,53262,Aliens: Infestation,Action,DS,T,0.16,7.0,8.5,43.0,,29.0,11th Oct 11
328,29089,Legends of WrestleMania,Fighting,PS3,T,0.54,7.0,,43.0,,19.0,24th Mar 09
330,84501,Ultimate NES Remix,Action,3DS,E,0.27,7.0,7.0,16.0,,32.0,05th Dec 14
331,45626,Your Shape: Fitness Evolved,Sports,X360,E,1.32,7.0,7.0,32.0,,25.0,04th Nov 10
332,6059,Crush,Puzzle,PSP,E10+,0.08,7.0,8.5,41.0,,21.0,29th May 07
333,33704,Dante's Inferno,Action,PSP,M,0.19,7.0,6.6,14.0,,46.0,02nd Mar 10
334,495,Deep Labyrinth,Action,DS,E10+,0.07,7.0,,18.0,,4.0,15th Aug 06
335,29091,Legends of WrestleMania,Fighting,X360,T,0.39,7.0,,59.0,,23.0,24th Mar 09
336,1889,Resident Evil: Deadly Silence,Action,DS,M,0.26,7.0,6.7,41.0,,36.0,07th Feb 06
337,6971,Resident Evil: The Umbrella Chronicles,Shooter,Wii,M,1.52,7.0,7.5,47.0,8.0,122.0,13th Nov 07
339,23929,Shaun White Snowboarding,Sports,PS3,T,0.65,7.0,6.0,30.0,,26.0,16th Nov 08
340,23930,Shaun White Snowboarding,Sports,X360,T,0.81,7.0,6.2,48.0,,25.0,16th Nov 08
341,31139,Fragile Dreams: Farewell Ruins of the Moon,Role-Playing,Wii,T,0.36,6.9,6.7,41.0,,63.0,16th Mar 10
342,33471,Ice Age: Dawn of the Dinosaurs,Platform,PC,E10+,0.02,6.9,6.8,5.0,,,30th Jun 09
343,33467,Ice Age: Dawn of the Dinosaurs,Platform,PS2,E10+,0.17,6.9,,,,,30th Jun 09
344,33469,Ice Age: Dawn of the Dinosaurs,Platform,PS3,E10+,0.19,6.9,6.6,23.0,,7.0,30th Jun 09
345,36107,Ice Age: Dawn of the Dinosaurs,Platform,Wii,E10+,0.27,6.9,7.2,12.0,,6.0,30th Jun 09
346,33470,Ice Age: Dawn of the Dinosaurs,Platform,X360,E10+,0.12,6.9,6.7,28.0,,6.0,30th Jun 09
347,13012,Link's Crossbow Training,Shooter,Wii,T,4.98,6.9,6.9,34.0,,47.0,19th Nov 07
348,24660,Animal Crossing: City Folk,Simulation,Wii,E,4.62,6.8,7.1,50.0,8.8,119.0,16th Nov 08
349,27254,Armored Core: For Answer,Simulation,PS3,T,0.19,6.8,6.1,22.0,,31.0,16th Sep 08
350,7138,Final Fantasy Crystal Chronicles: The Crystal Bearers,Adventure,Wii,T,0.39,6.8,6.7,53.0,,70.0,26th Dec 09
351,51748,Kinect: Disneyland Adventures,Action-Adventure,X360,E10+,2.35,6.8,8.5,33.0,,67.0,15th Nov 11
352,33694,LEGO Rock Band,Misc,Wii,E10+,0.69,6.8,6.8,15.0,,6.0,03rd Nov 09
353,32551,Miami Law,Adventure,DS,T,0.1,6.8,5.5,14.0,,4.0,09th Jun 09
354,45479,MotorStorm: Apocalypse,Racing,PS3,T,0.48,6.8,7.6,74.0,,155.0,03rd May 11
355,35480,NBA 2K10,Sports,Wii,E,0.37,6.8,5.1,,,11.0,09th Nov 09
356,78529,Tropico 5,Simulation,PC,T,0.12,6.8,,51.0,,351.0,01st Jan 15
357,28518,Dynasty Warriors: Gundam 2,Action,PS2,T,0.34,6.7,4.9,8.0,,8.0,21st Apr 09
359,12350,The Eye of Judgment,Strategy,PS3,T,0.33,6.7,7.5,43.0,,51.0,24th Oct 07
360,2519,Trace Memory,Adventure,DS,T,0.29,6.7,6.5,51.0,,42.0,26th Sep 05
361,13823,Wet,Shooter,PS3,M,0.61,6.7,6.9,61.0,,55.0,15th Sep 09
362,13824,Wet,Shooter,X360,M,0.5,6.7,6.9,79.0,,86.0,15th Sep 09
364,22053,Too Human,Role-Playing,X360,T,0.78,6.6,6.5,80.0,,458.0,19th Aug 08
365,22964,Dokapon Kingdom,Role-Playing,Wii,E10+,0.13,6.5,7.2,11.0,,17.0,14th Oct 08
366,34360,Dragon Ball Z: Attack of the Saiyans,Role-Playing,DS,E10+,0.36,6.5,7.2,21.0,,24.0,10th Nov 09
367,34641,Dragon Ball: Raging Blast,Fighting,PS3,T,0.77,,5.6,26.0,,58.0,10th Nov 09
368,34642,Dragon Ball: Raging Blast,Fighting,X360,T,0.51,6.5,5.8,29.0,,33.0,10th Nov 09
369,24721,Lock's Quest,Strategy,DS,E,0.09,6.5,,32.0,,27.0,08th Sep 08
370,33245,Pimp My Ride: Street Racing,Racing,DS,E,0.03,6.5,,,,,24th Mar 09
371,12261,The Last Remnant,Role-Playing,X360,M,0.68,6.5,6.5,49.0,8.0,122.0,20th Nov 08
372,26765,Wanted: Weapons of Fate,Shooter,PS3,M,0.29,6.5,6.2,56.0,,25.0,24th Mar 09
373,26764,Wanted: Weapons of Fate,Shooter,X360,M,0.37,6.5,6.2,61.0,,26.0,24th Mar 09
374,21877,007: Quantum of Solace,Shooter,Wii,T,0.65,6.4,5.6,11.0,,26.0,04th Nov 08
375,28519,Dynasty Warriors: Gundam 2,Action,PS3,T,0.49,6.4,5.9,22.0,,28.0,21st Apr 09
376,28520,Dynasty Warriors: Gundam 2,Action,X360,T,0.19,6.4,5.6,30.0,,18.0,21st Apr 09
377,22477,Glory of Heracles,Role-Playing,DS,E10+,0.29,6.4,6.8,23.0,,18.0,18th Jan 10
378,33465,Obscure: The Aftermath,Adventure,PSP,M,0.09,6.4,6.5,25.0,,20.0,29th Sep 09
379,25607,Real Heroes: Firefighter,Action,Wii,E10+,0.64,6.3,7.4,18.0,,10.0,04th Aug 09
380,19430,Black Sigil: Blade of the Exiled,Role-Playing,DS,E,0.05,6.2,6.0,24.0,,20.0,09th Jun 09
381,27308,Final Fantasy Crystal Chronicles: Echoes of Time,Role-Playing,Wii,E10+,0.25,6.2,6.9,29.0,,11.0,24th Mar 09
382,45608,Kinect Adventures!,Party,X360,E,21.81,6.2,6.7,45.0,,106.0,04th Nov 10
383,7690,White Knight Chronicles: International Edition,Role-Playing,PS3,T,0.93,6.2,6.3,77.0,7.9,213.0,02nd Feb 10
386,32700,G.I. Joe: The Rise of Cobra,Action,DS,E10+,0.14,6.1,5.6,16.0,,4.0,04th Aug 09
387,1210,Lunar: Dragon Song,Role-Playing,DS,E10+,0.12,6.1,5.9,30.0,,17.0,27th Sep 05
388,33338,The BIGS 2,Sports,Wii,E10+,0.29,6.1,6.3,5.0,,6.0,07th Jul 09
389,7004,Baroque,Role-Playing,PS2,T,0.13,6.0,,6.0,,44.0,08th Apr 08
390,17791,Baroque,Role-Playing,Wii,T,0.07,6.0,5.2,22.0,,24.0,08th Apr 08
391,42151,Fat Princess: Fistful of Cake,Action,PSP,T,0.12,6.0,7.0,33.0,,25.0,04th May 10
392,30969,Indiana Jones and the Staff of Kings,Action,Wii,T,0.72,6.0,5.1,32.0,,28.0,09th Jun 09
393,30606,Trivial Pursuit,Misc,Wii,E,0.57,6.0,7.3,11.0,,,10th Mar 09
394,36598,Family Feud: 2010 Edition,Misc,Wii,E,0.62,5.9,,,,,29th Sep 09
395,31621,Gardening Mama,Puzzle,DS,E,1.35,5.9,6.6,17.0,,4.0,31st Mar 09
396,72139,The Sims 4,Simulation,PC,T,3.05,5.8,7.0,74.0,,2057.0,02nd Sep 14
397,17062,Afro Samurai,Action,PS3,M,0.2,5.7,6.5,52.0,,27.0,27th Jan 09
398,17061,Afro Samurai,Action,X360,M,0.24,5.7,6.4,70.0,,57.0,27th Jan 09
399,25384,The Lord of the Rings: Conquest,Action,PS3,T,0.74,,5.8,45.0,,57.0,13th Jan 09
400,43864,Bodycount,Shooter,X360,M,0.11,5.5,4.8,61.0,,73.0,30th Aug 11
401,35187,Assassin's Creed: Bloodlines,Action,PSP,M,1.23,5.4,6.3,38.0,,69.0,17th Nov 09
402,33337,Night at the Museum: Battle of the Smithsonian,Action,X360,E10+,0.11,5.3,5.4,15.0,,8.0,05th May 09
403,25383,The Lord of the Rings: Conquest,Action,X360,T,0.63,5.3,5.9,58.0,,110.0,13th Jan 09
404,2666,Wii Play,Misc,Wii,E,28.92,5.3,5.9,41.0,4.5,129.0,12th Feb 07
405,35502,Academy of Champions: Soccer,Sports,Wii,E,0.12,5.2,7.1,20.0,,14.0,03rd Nov 09
407,34463,Hasbro Family Game Night 2,Misc,Wii,E,1.35,5.0,6.4,16.0,,6.0,27th Oct 09
408,36473,NERF N-Strike Elite,Shooter,Wii,E10+,1.0,5.0,7.5,12.0,,6.0,26th Oct 09
410,7565,Hot Pixel,Puzzle,PSP,T,0.03,4.8,5.7,35.0,,6.0,02nd Oct 07
411,32699,G.I. Joe: The Rise of Cobra,Action,X360,T,0.24,4.7,3.8,59.0,,22.0,04th Aug 09
412,25941,Unsolved Crimes,Adventure,DS,T,0.05,4.6,6.0,20.0,,,30th Sep 08
413,18655,Jake Hunter Detective Story: Memories of the Past,Adventure,DS,T,0.11,4.5,,5.0,,,26th May 09
414,25684,Major Minor's Majestic March,Misc,Wii,E,0.05,4.5,4.5,16.0,,,02nd Apr 09
415,31885,Sudoku Ball Detective,Puzzle,DS,E10+,0.06,4.4,5.0,6.0,,,22nd Sep 09
418,34286,Last Rebellion,Role-Playing,PS3,T,0.09,4.2,4.8,30.0,,34.0,23rd Feb 10
419,48605,Dreamcast Collection,Misc,X360,T,0.24,4.0,5.3,31.0,,10.0,22nd Feb 11
420,40628,Deadly Premonition,Action,X360,M,0.26,4.0,6.0,39.0,7.8,332.0,23rd Feb 10
421,28278,"Flower, Sun, and Rain",Adventure,DS,T,0.07,4.0,5.7,37.0,,15.0,15th Jun 09
422,42625,Dead or Alive Paradise,Misc,PSP,M,0.18,3.7,4.5,34.0,,37.0,30th Mar 10
423,28274,America's Next Top Model,Simulation,DS,E10+,0.1,3.5,,,,,01st Jun 10
424,16958,Lost: Via Domus,Action,PS3,T,0.5,3.5,,30.0,,28.0,26th Feb 08
425,24708,Brave: A Warrior's Tale,Action,Wii,E10+,0.06,3.2,4.7,13.0,,,04th Aug 09
426,23581,Brothers in Arms: Double Time,Shooter,Wii,M,0.13,3.2,4.6,13.0,,17.0,23rd Sep 08
427,23754,Velvet Assassin,Shooter,X360,M,0.18,3.2,5.3,46.0,,55.0,30th Apr 09
428,24538,Stormrise,Strategy,PC,M,0.02,3.1,,15.0,,22.0,24th Mar 09
429,17668,NCAA Football 09 All-Play,Sports,Wii,E,0.16,3.0,5.3,5.0,,32.0,15th Jul 08
430,14604,Golden Axe: Beast Rider,Action,PS3,M,0.32,,4.5,30.0,,23.0,14th Oct 08
431,14603,Golden Axe: Beast Rider,Action,X360,M,0.33,,4.0,33.0,7.0,33.0,14th Oct 08
