,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
0,Trace Memory    Read the review,DS,Nintendo,Cing,6.7,6.5,N/A,N/A,0.29m,0.15m,0.01m,0.12m,0.01m,26th Sep 05,N/A,2519,Adventure
1,Wet    Read the review,PS3,Bethesda Softworks,Artificial Mind and Movement,6.7,6.9,N/A,N/A,0.62m,0.22m,0.27m,0.01m,0.11m,15th Sep 09,N/A,13823,Shooter
2,Wet    Read the review,X360,Bethesda Softworks,Artificial Mind and Movement,6.7,6.9,N/A,N/A,0.50m,0.23m,0.21m,0.01m,0.05m,15th Sep 09,N/A,13824,Shooter
3,Yu-Gi-Oh! 5D's Wheelie Breakers    Read the review,Wii,Konami,Konami,6.7,7.5,N/A,N/A,0.10m,0.09m,0.01m,N/A,0.01m,19th May 09,N/A,34869,Racing
4,1942: Joint Strike    Read the review,PSN,Capcom,Backbone Entertainment,6.6,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Jul 08,N/A,24531,Shooter
5,1942: Joint Strike    Read the review,XBL,Capcom,Backbone Entertainment,6.6,6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jul 08,N/A,24532,Shooter
6,Reel Deal Casino: Millionaire's Club    Read the review,PC,Phantom EFX,Phantom EFX,6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Sep 08,N/A,26404,Misc
7,Too Human    Read the review,X360,Microsoft Game Studios,Silicon Knights,6.6,6.5,N/A,N/A,0.78m,0.38m,0.30m,0.03m,0.08m,19th Aug 08,N/A,22053,Role-Playing
8,4PM    Read the review,PC,4PM Game LTD,4PM Game LTD,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jul 14,01st Aug 18,83572,Adventure
9,Alex Kidd in Miracle World DX    Read the review,PC,Merge Games,Merge Games,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jun 21,20th May 21,228842,Platform
10,Beach Buggy Racing 2: Island Adventure    Read the review,NS,Unknown,Vector Unit,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Mar 21,228483,Racing
11,Blue Fire    Read the review,NS,Graffiti,Robi Studios,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,04th Aug 20,227049,Action-Adventure
12,Curved Space    Read the review,PS4,Unknown,Only By Midnight Ltd.,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 21,229325,Shooter
13,Dariusburst: Another Chronicle EX+    Read the review,NS,Unknown,Taito,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 21,228887,Shooter
14,Defend Your Castle     Read the review,WW,XGenStudios,XGen Studios,6.5,6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th May 08,N/A,19607,Strategy
15,Dokapon Kingdom    Read the review,Wii,Atlus,Sting,6.5,7.2,N/A,N/A,0.13m,0.12m,N/A,N/A,0.01m,14th Oct 08,N/A,22964,Role-Playing
16,Dragon Ball Z: Attack of the Saiyans    Read the review,DS,Namco Bandai,Monolith Soft,6.5,7.2,N/A,0.19m,N/A,N/A,N/A,N/A,N/A,10th Nov 09,N/A,34360,Role-Playing
17,Dragon Ball: Raging Blast,PS3,Namco Bandai,Spike,N/A,5.6,N/A,N/A,0.77m,0.37m,0.19m,0.11m,0.10m,10th Nov 09,N/A,34641,Fighting
18,Dragon Ball: Raging Blast    Read the review,X360,Namco Bandai,Spike,6.5,5.8,N/A,N/A,0.51m,0.36m,0.08m,0.02m,0.04m,10th Nov 09,N/A,34642,Fighting
19,FaceBreaker K.O. Party     Read the review,Wii,Electronic Arts,EA Freestyle,6.5,6.7,N/A,N/A,0.22m,0.19m,0.01m,N/A,0.02m,11th Nov 08,N/A,25231,Fighting
20,Greedfall: The De Vespe Conspiracy    Read the review,XS,Unknown,Spiders,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Jul 21,229330,Role-Playing
21,Hotline Miami 2: Wrong Number    Read the review,PC,Devolver Digital,Dennaton Games,6.5,8.3,N/A,1.04m,N/A,N/A,N/A,N/A,N/A,10th Mar 15,21st Jan 18,81164,Shooter
22,Knockout City    Read the review,XS,Unknown,Velan Studios,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 21,228305,Sports
23,Little Nightmares 2    Read the review,NS,Bandai Namco Entertainment,Tarsier Studios,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Feb 21,29th Oct 19,225724,Platform
24,Lock's Quest    Read the review,DS,THQ,5TH Cell,6.5,N/A,N/A,N/A,0.09m,0.08m,0.00m,0.00m,0.01m,08th Sep 08,N/A,24721,Strategy
25,Lost Judgement    Read the review,XOne,Unknown,Sega,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Aug 21,229533,Action
26,Lost Words: Beyond the Page    Read the review,NS,Unknown,Sketchbook Games,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Apr 21,228792,Adventure
27,Pimp My Ride: Street Racing    Read the review,DS,Activision,Virtuos,6.5,N/A,N/A,N/A,0.03m,0.03m,N/A,N/A,0.00m,24th Mar 09,N/A,33245,Racing
28,R-Type Final 2    Read the review,NS,Unknown,Granzella,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Mar 21,228511,Shooter
29,Returnal    Read the review,PS5,Sony Interactive Entertainment,Housemarque,6.5,N/A,N/A,0.56m,N/A,N/A,N/A,N/A,N/A,30th Apr 21,12th Jun 20,226670,Shooter
30,Rocketmen: Axis of Evil    Read the review,PSN,Capcom,A.C.R.O.N.Y.M. Games Inc.,6.5,5.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Mar 08,N/A,18689,Shooter
31,Story of Seasons: Pioneers of Olive Town    Read the review,NS,Unknown,Marvelous,6.5,N/A,N/A,0.70m,N/A,N/A,N/A,N/A,N/A,N/A,10th Feb 21,228229,Simulation
32,The Falconeer    Read the review,XS,Unknown,Tomas Sala,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Dec 20,227920,Action-Adventure
33,The Last Remnant    Read the review,X360,Square Enix,Square Enix,6.5,6.5,8.0,0.58m,N/A,N/A,N/A,N/A,N/A,20th Nov 08,N/A,12261,Role-Playing
34,Vandal Hearts: Flames of Judgment    Read the review,PSN,Konami,Hijinx Studios,6.5,6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Jan 10,N/A,33514,Role-Playing
35,Vandal Hearts: Flames of Judgment    Read the review,XBL,Konami,Hijinx Studios,6.5,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Jan 10,N/A,33515,Role-Playing
36,Wanted: Weapons of Fate    Read the review,PS3,Warner Bros. Interactive,GRIN,6.5,6.2,N/A,N/A,0.29m,0.14m,0.10m,0.01m,0.04m,24th Mar 09,N/A,26765,Shooter
37,Wanted: Weapons of Fate    Read the review,X360,Warner Bros. Interactive,GRIN,6.5,6.2,N/A,N/A,0.37m,0.17m,0.15m,0.00m,0.04m,24th Mar 09,N/A,26764,Shooter
38,007: Quantum of Solace    Read the review,Wii,Activision,Beenox,6.4,5.6,N/A,N/A,0.65m,0.29m,0.28m,0.01m,0.07m,04th Nov 08,N/A,21877,Shooter
39,Assassin's Creed II: Bonfire of the Vanities    Read the review,PSN,Ubisoft,Ubisoft Montreal,6.4,7.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 10,N/A,42797,Action
40,Assassin's Creed II: Bonfire of the Vanities    Read the review,XBL,Ubisoft,Ubisoft Montreal,6.4,6.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Feb 10,N/A,42796,Action
41,Dynasty Warriors: Gundam 2    Read the review,PS3,Namco Bandai,Omega Force,6.4,5.9,N/A,N/A,0.49m,0.09m,0.07m,0.32m,0.03m,21st Apr 09,N/A,28519,Action
42,Dynasty Warriors: Gundam 2    Read the review,X360,Namco Bandai,Omega Force,6.4,5.6,N/A,N/A,0.19m,0.07m,0.03m,0.08m,0.01m,21st Apr 09,N/A,28520,Action
43,flOw    Read the review,PSN,Sony Computer Entertainment,thatgamecompany,6.4,7.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Feb 07,N/A,17543,Simulation
44,Fortix    Read the review,PSN,Complete-IT,Nemesys Studio,6.4,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Nov 09,N/A,39519,Strategy
45,Glory of Heracles    Read the review,DS,Nintendo,Paon Corporation,6.4,6.8,N/A,N/A,0.29m,0.19m,N/A,0.08m,0.02m,18th Jan 10,N/A,22477,Role-Playing
46,Obscure: The Aftermath    Read the review,PSP,Playlogic Game Factory,Hydravision Entertainment,6.4,6.5,N/A,N/A,0.09m,0.05m,0.03m,N/A,0.01m,29th Sep 09,N/A,33465,Adventure
47,Real Heroes: Firefighter    Read the review,Wii,Conspiracy Entertainment,Epicenter Studios,6.3,7.4,N/A,N/A,0.64m,0.56m,0.04m,N/A,0.05m,04th Aug 09,N/A,25607,Action
48,Supersonic Acrobatic Rocket-Powered Battle-Cars    Read the review,PSN,Psyonix,Psyonix Studios,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Oct 08,N/A,25543,Sports
49,WarioWare: Snapped!    Read the review,DSiW,Nintendo,Intelligent Systems,6.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Apr 09,N/A,33096,Misc
50,Black Sigil: Blade of the Exiled    Read the review,DS,Graffiti,Studio Archcraft,6.2,6.0,N/A,N/A,0.05m,0.05m,N/A,N/A,0.00m,09th Jun 09,N/A,19430,Role-Playing
51,Final Fantasy Crystal Chronicles: Echoes of Time    Read the review,Wii,Square Enix,Square Enix,6.2,6.9,N/A,N/A,0.25m,0.13m,0.06m,0.05m,0.02m,24th Mar 09,N/A,27308,Role-Playing
52,Kinect Adventures!    Read the review,X360,Microsoft Game Studios,Good Science Studio,6.2,6.7,N/A,24.00m,N/A,N/A,N/A,N/A,N/A,04th Nov 10,29th Sep 18,45608,Party
53,White Knight Chronicles: International Edition    Read the review,PS3,Sony Computer Entertainment,Level 5,6.2,6.3,7.9,N/A,0.95m,0.34m,0.16m,0.36m,0.09m,02nd Feb 10,N/A,7690,Role-Playing
54,X-Men Origins: Wolverine - Uncaged Edition    Read the review,PS3,Activision,Raven Software,6.2,7.0,8.7,N/A,0.74m,0.31m,0.31m,N/A,0.12m,01st May 09,N/A,32529,Action
55,X-Men Origins: Wolverine - Uncaged Edition    Read the review,X360,Activision,Raven Software,6.2,7.1,N/A,N/A,0.69m,0.42m,0.21m,N/A,0.06m,01st May 09,N/A,32528,Action
56,G.I. Joe: The Rise of Cobra    Read the review,DS,Electronic Arts,Fall Line Studio,6.1,5.6,N/A,N/A,0.14m,0.11m,0.01m,N/A,0.01m,04th Aug 09,N/A,32700,Action
57,Lunar: Dragon Song    Read the review,DS,Ubisoft,Game Arts / Japan Art Media (JAM),6.1,5.9,N/A,N/A,0.12m,0.11m,0.00m,N/A,0.01m,27th Sep 05,N/A,1210,Role-Playing
58,Reel Deal Card Games '09    Read the review,PC,Phantom EFX,PhantomEFX,6.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Sep 08,N/A,32131,Misc
59,The BIGS 2    Read the review,Wii,2K Sports,Blue Castle Games,6.1,6.3,N/A,N/A,0.29m,0.26m,0.01m,N/A,0.02m,07th Jul 09,N/A,33338,Sports
60,Gears 5: Hivebusters    Read the review,XS,Unknown,The Coalition,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Jan 21,228048,Shooter
61,3 out of 10: Season One    Read the review,XS,Unknown,Terrible Posture Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Mar 21,228399,Adventure
62,Afterparty    Read the review,XOne,Unknown,Night School Studio,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Nov 19,225773,Adventure
63,Angels of Death    Read the review,NS,Active Gaming Media,Stardust KRNKRN,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jun 18,08th Jul 18,222328,Adventure
64,Aragami: Shadow Edition    Read the review,NS,Merge Games,Lince Works,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Feb 19,24th Mar 19,222690,Action
65,Assassin's Creed Rogue Remastered    Read the review,XOne,Ubisoft,Ubisoft,6.0,6.0,N/A,N/A,0.04m,N/A,0.03m,N/A,0.00m,20th Mar 18,29th Jan 18,220926,Action-Adventure
66,At Sundown: Shots in the Dark    Read the review,NS,Versus Evil,Mild Beast Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jan 19,20th Jan 19,223334,Shooter
67,Atelier Lulua: The Scion of Arland    Read the review,PS4,Koei Tecmo,Gust,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th May 19,22nd Mar 19,223749,Role-Playing
68,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings    Read the review,PS4,Tecmo Koei,Gust,6.0,N/A,N/A,N/A,0.06m,0.03m,N/A,0.03m,0.01m,27th Mar 18,10th Feb 18,205779,Role-Playing
69,Blast Zone! Tournament    Read the review,PC,Victory Lap Games,Victory Lap Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 18,20th Mar 19,223946,Strategy
70,Bouncy Bullets    Read the review,PSV,Ratalaika Games,Ratalaika Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Jul 19,13th Jul 19,225259,Platform
71,Burnout Paradise Remastered    Read the review,PS4,Electronic Arts,Stellar Entertainment,6.0,8.0,N/A,N/A,0.37m,0.08m,0.22m,0.01m,0.06m,16th Mar 18,24th Feb 18,221164,Racing
72,Citizens of Space    Read the review,PS4,Unknown,Eden Industries,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 19,225140,Role-Playing
73,ClusterPuck 99    Read the review,NS,Coatsink Software,PHL Collective,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 18,23rd Mar 18,221409,Sports
74,Code of  Princess EX    Read the review,NS,Nicalis,Studio Saizensen,6.0,7.2,N/A,N/A,0.03m,0.02m,N/A,0.01m,0.00m,31st Jul 18,08th Mar 18,221270,Action
75,Croixleur Sigma    Read the review,NS,Unknown,souvenir circ.,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Mar 19,224169,Action
76,Crystal Crisis    Read the review,NS,Nicalis,Nicalis,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Mar 19,25th May 18,221999,Puzzle
77,Darius Cozmic Collection Console    Read the review,NS,Unknown,M2,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 20,226759,Shooter
78,Darksiders III    Read the review,PS4,THQ Nordic,Gunfire Games,6.0,N/A,N/A,N/A,0.25m,0.13m,0.07m,N/A,0.04m,27th Nov 18,19th Dec 18,174548,Action
79,Death end re;Quest    Read the review,PS4,Idea Factory,Compile Heart,6.0,N/A,N/A,N/A,0.03m,N/A,N/A,0.03m,N/A,01st Dec 19,22nd Apr 18,221231,Role-Playing
80,Death Road to Canada    Read the review,NS,Unknown,Rocketcat Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Jan 18,220999,Action
81,Destruction Allstars    Read the review,PS5,Sony Interactive Entertainment,Lucid Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th Nov 20,02nd Aug 21,226673,Action
82,Devil May Cry HD Collection    Read the review,XOne,Capcom,Capcom,6.0,N/A,N/A,N/A,0.04m,0.04m,N/A,N/A,0.00m,13th Mar 18,29th Jan 18,220928,Action
83,Die for Valhalla!    Read the review,NS,Unknown,Monster Couch,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Jul 18,222301,Action
84,Double Cross    Read the review,NS,Graffiti,13AM Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Jan 19,02nd Jan 19,223281,Action-Adventure
85,Dragon: Marked For Death    Read the review,NS,Inti Creates,Inti Creates,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Feb 19,12th Jan 19,221306,Action
86,Falcon Age    Read the review,PS4,Outerloop Games,Outerloop Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Apr 19,12th Apr 19,224692,Action-Adventure
87,Heave Ho    Read the review,NS,Unknown,Le Cartel Studio,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 19,225595,Action
88,Hellpoint    Read the review,XOne,TinyBuild Games,Cradle Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Jul 20,04th Jun 20,226634,Role-Playing
89,Hyperlight Ultimate    Read the review,NS,Unknown,CatfishBlues Games,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jul 19,07th Jul 19,225235,Action
90,I Am Dead    Read the review,XS,Unknown,Hollow Ponds,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Sep 21,229684,Adventure
91,Joggernauts    Read the review,NS,Unknown,Space Mace,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Oct 18,222935,Platform
92,Kingdom Hearts: Melody of Memory    Read the review,PS4,Square Enix,Square Enix,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Nov 20,18th Sep 20,226945,Music
93,Konami Anniversary Collection: Arcade Classics    Read the review,NS,Unknown,Konami,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Mar 19,223910,Misc
94,LEGO Harry Potter Collection     Read the review,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,6.0,N/A,N/A,N/A,0.33m,0.15m,0.16m,N/A,0.03m,30th Oct 18,27th Oct 18,222721,Action
95,LEGO The Incredibles    Read the review,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,6.0,N/A,N/A,N/A,0.32m,0.19m,0.10m,N/A,0.03m,15th Jun 18,06th Nov 18,221757,Action
96,Lornsword Winter Chronicle    Read the review,PS4,Tower Five,Tower Five,6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 19,14th Aug 19,225534,Strategy
97,Luigi's Mansion 3    Read the review,NS,Nintendo,"Next Level Games, Inc.",6.0,N/A,N/A,9.59m,N/A,N/A,N/A,N/A,N/A,31st Oct 19,03rd Aug 20,222771,Action-Adventure
